artist,_id
Snow,640297ce191b1ff16b14115e
Snow,640297cf191b1ff16b15ca46
Snow,64061eb6f3780a5c866ef63c
Snow,640a728b4faf717a5e7db3ae
Snow,640ccfce4f918c3c72c61e3c
Hi-Tek,640216f33c1777e846d933c7
Kevin Rudolf,640216f33c1777e846d94300
Wale,640216f33c1777e846da2c0a
Dom Pachino,640216f33c1777e846d9b4d7
Dom Pachino,64061eb6f3780a5c866ea0e4
Skillz,640297cf191b1ff16b159f67
Skillz,64061eb6f3780a5c866ecb40
Skillz,64088cc85ccd393439b18414
Goodie Mob,640216f33c1777e846d98136
Big Daddy Kane,640216f33c1777e846d9ceae
UGK,640297ce191b1ff16b140311
Charles Hamilton,640297cf191b1ff16b157a83
Arcade Fire,640216f33c1777e846da4f9a
Chiddy Bang,64061eb6f3780a5c866e860b
Afu-Ra,640216f33c1777e846da46b1
Afu-Ra,640216f33c1777e846da5303
Afu-Ra,640297cf191b1ff16b153d1c
Afu-Ra,64061eb6f3780a5c866ebffc
King Chip,640216f33c1777e846d98014
Black Eyed Peas,640216f33c1777e846d9ae82
Lil Jon & The East Side Boyz,640216f33c1777e846d95e1c
CeeLo Green,640297cf191b1ff16b15eb4c
Chris Webby,640216f33c1777e846d97a6c
Bobby Brackins,640216f33c1777e846d940c5
Diddy,640216f33c1777e846da0afc
Diddy,640297cf191b1ff16b15dd29
Miguel,640216f33c1777e846d943e0
Miguel,64061eb6f3780a5c866ee556
Miguel,64061eb6f3780a5c866f79aa
Cold 187um,64061eb6f3780a5c866ef3ab
Celph Titled,640216f33c1777e846d9eb1c
Celph Titled,640297cf191b1ff16b1531de
Diverse,640216f33c1777e846da4ebf
Diverse,64061eb6f3780a5c866eca42
Asher Roth,640216f33c1777e846d9987e
M.I.A.,640216f33c1777e846d94874
Robin Thicke,640216f33c1777e846da30ec
Ace Hood,640297ce191b1ff16b14712a
Apathy,640216f33c1777e846d97293
Apathy,640216f33c1777e846da0b6c
Apathy,640297ce191b1ff16b14d954
Apathy,640297cf191b1ff16b15b795
Wyclef Jean,640297cf191b1ff16b157f66
Lowkey,640297ce191b1ff16b14c1a1
Lowkey,64061eb6f3780a5c866ed714
Lowkey,64088cc85ccd393439b0ed65
Hilltop Hoods,640216f33c1777e846da38d0
Pac Div,64061eb6f3780a5c866f0282
Neil Young,640297cf191b1ff16b158ea3
The Beatnuts,640216f33c1777e846d99c6e
Luniz,640216f43c1777e846da5fa7
Bushwick Bill,640216f33c1777e846d95798
Chino XL,640297cf191b1ff16b1585df
Brandon Flowers,640297ce191b1ff16b14005b
