artist_name,artist_id,artist_popularity,artist_genres
te$oro,5pdyR1CeEBeQhH7ibsKSN1,2,[]
TEXIIO,6z3pfy82RtC0zLRKE6HuDV,26,[]
Natalie Fall,6YZdKBkkOEdojatkaX7rzE,42,[]
Metal Fortress,2qNbfCQOolQ0ybnCkpEuP9,31,[]
Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,35,"['action rock', 'la indie']"
Kix,45KpBChrKYWhTlU6N57ofu,45,"['album rock', 'glam metal', 'hard rock', 'sleaze rock']"
Kris Kross,2zrZfs23sjuHDv4E6YRmNf,53,"['hip hop', 'old school atlanta hip hop', 'rap']"
Kris Kiss,3Hzok9apHnCGDDkGltQcMg,49,[]
The Strangers,4eYZgISQVkajfQ3PAJlqqw,42,[]
Strangers And,1bNsdxQbHtDRUXRP6tRodV,8,[]
The Stranglers,0RUEHcBiENFEqxgicqS2ig,60,"['art rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'synthpop', 'zolo']"
P!nk,1KCSPY1glIKqW2TotWuXOR,85,"['dance pop', 'pop']"
Apink,2uWcrwgWmZcQc3IPBs3tfU,56,"['k-pop', 'k-pop girl group']"
PIÑA PINK,7L2I1AuvyRXd2ysLSTeKZX,46,['study beats']
Guts,7jnX54FwTCv5s5UrHEQqjz,4,[]
SHADE,7haDPJHWbvWwhYGKDa7GP0,15,['britpop revival']
Ray Dawn,3Pvp8jqCvlxkeDWI1OTUAL,16,['pittsburgh rap']
reardon.,1XwXqN49H0zFhRM1Z3ZScO,19,[]
ReeDaDon,53dH57ynyrux4epxIJC8eF,1,[]
Skyline FX,0Bk22etDRvzrog9780hCXb,39,[]
s0cliché,6VFh5MDegSpfTMvGQ4RGaO,48,"['emo rap', 'sad lo-fi', 'sad rap']"
FM Skyline,78eLUMRVVuDlDgcvYCYDCf,37,"['chillsynth', 'future funk', 'hardvapour', 'vaporwave']"
SkySky,24pnYmyDZqfVvQGqK1RZ9b,60,[]
skilatchi,0OU4ioBamqV4AYec06oJWt,49,[]
Slaydit,0vC48gyflgfcrP6f50V9R8,50,[]
A Stained Glass Romance,3iqrbM52jTmNlb5LyXhsaG,16,[]
Romance,0A18cE9pDz57f0cj7q8wxt,21,[]
A State of Romance,3iYQlthkHRdSuP2cuHw9IL,5,[]
Scarlett,06ahQOusxyLRkcUMrXts8s,56,[]
Scarlet,59APLaxReprkLuj2JBO0YD,54,[]
Scarlett Skies,4Ww2BFFQVpno8COGWONc1L,43,[]
Nori,1ZVchQJoK0CP4PR7bgr2Lo,46,['pixel']
Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,47,"['country', 'country dawn', 'country road']"
RØNIN,5AueQd01cgyqBRQ82ns5cd,58,"['aesthetic rap', 'sad lo-fi', 'sad rap']"
Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,70,"['modern indie pop', 'viral rap']"
suburban,4rV5QbctZumt1az6iUXxar,48,"['aesthetic rap', 'dark trap']"
Subvrbs,0NVy1xEsz4i8pX33Scv75n,53,[]
A Sunny Day In Glasgow,6ri0XKbaMvGEQ6r7fSee8g,23,"['dream pop', 'etherpop', 'modern dream pop', 'noise pop', 'nu gaze', 'philly indie', 'shoegaze']"
Sunny Day Real Estate,2lZkXWxkZsZzBocxMjN1or,48,"['alternative rock', 'emo', 'emo punk', 'midwest emo', 'post-hardcore', 'screamo']"
Sunny & The Sunliners,7vsHbcgOIbaeMqv3GvvHdO,42,"['classic soul', 'souldies']"
A Band of Orcs,2Qf4XU5Lm0dYfCLiWRFSix,3,['grisly death metal']
Beautiful Death,3Rqjq9sDEbaEiVPg0eqy8p,32,[]
Beautiful Dudes,7noXZjwbkeEorbtv9HqCPO,7,[]
The Beautiful Dreamers,6KLUPhPP6YdevdV93R0hFb,9,[]
A Banda Mais Bonita da Cidade,2vyvksxB1aCmd0vl2geGYR,45,"['brazilian indie', 'brazilian rock', 'folk brasileiro', 'indie curitibano', 'nova mpb', 'rock curitibano']"
La Mejores Bandas Del Mundo Vol 2,69jBNhFKISDzO6IJPgKfsC,38,[]
Bandana Bandit,1cBxFXsuTj1ZwKhPEzmXQO,19,[]
The Birthday Massacre,16AVsBqzmIZTNHd0eX8VbK,51,"['canadian rock', 'industrial metal', 'pixie', 'steampunk']"
The Birthday Party,5I2hMUcztc6QbzkyLskdt4,37,"['australian post-punk', 'experimental', 'experimental rock', 'gothic rock', 'industrial', 'post-punk', 'punk blues']"
Birthday Songs,5B88PRKksAaUUU2WNppc2w,33,['birthday']
TheProphecy,2ZIL6CfT8W8hKLr44c2hgs,3,[]
Bloody Capes,0ZLgbaM9rTX8JVicgfWGZz,3,[]
A Bloody Chasm,4bVfPX4pKCL63EMGoUA7Lm,1,[]
CANVAS,4V7fWmLL91fiikyB9wEGdM,3,[]
Breakaway,1cKw3b0ugajgL1Z46D2zdT,37,"['gymcore', 'post-screamo']"
The Breakaways,51qA9RRf9wE44abu4WQCsg,13,[]
Breakaway Worship,3qlB6KcL344WFe5NbKb6iv,17,[]
A Blue Ocean Dream,33O4FXGYkhFkQq9G4FSPk1,2,"['deep neo-synthpop', 'neo-synthpop', 'swedish synthpop']"
ABrokenHeart,6XhDL4nL2jTNPg4uqhgsGk,18,[]
Pretty Boy Aaron,6TIiGARk7Eo8igAnbM2eeR,48,['bedroom soul']
Prettyboi Floydd,30YrPGQzpuM4Tp4ihWPIXS,33,[]
Prettyboy D-O,76qtJqxLY1aXEPHxAJui7y,42,"['alte', 'nigerian pop']"
Carligo,6rcMboN5jrM7OzqcqIfLwd,47,['sleep']
Carol Richards,0Im4XjInyfMuA2lVkalOGK,45,[]
CARLOS,38DsKVLQkeXo6vQDWPpr41,44,[]
Contrast,3IAaki1VbcSXpj4CTJIM9G,10,[]
Contrasto Armonico,1udsMQtAJU2qHBK1pghvPk,7,[]
ContrArco Consort,64biOftTEoLyiNZT2Wg5ZW,7,[]
Darkhalo,0ko239LPJuKtqJu0d6fhKA,13,[]
Dark Half,2Seuseo5bMCVDHvuPFD1kb,1,[]
GALACTIC☆HALO,7683GSxDLB6faqiDnEjT1g,5,[]
Celio Gonzalez,17fQCVwjvlCEIr3T1dLg5y,43,"['bolero', 'bolero cubano', 'musica tradicional cubana']"
XIELO,5Ffy4kXydp37LPRaqcyxse,17,[]
Cilio,2VwXCm4Ahx4bsHCh2vG9ys,14,[]
magiko beats,6FIJ70y8KNd8H8KCzggBRU,31,[]
A Turma Do Balão Mágico,227JycdANvGMALjqUrdrp4,45,['musica infantil']
Magicos 60,5IyZAHoFOqbxB4w1YR2T0n,39,[]
The Noise,7kMlhdJrOP9Q1yQngmELcP,41,[]
NOISY,5bt1iZVk3VV1LxRL4wzZ9F,41,[]
The Noise Unheard,6O65oHP5LxTi8581IgxaJ5,44,[]
A.L.A,3MKpGPhBp9KeXjGooKHNDX,56,"['arabic hip hop', 'rap tunisien']"
A.L.A,2XFVTk68XNVV9P9xbNSczy,26,[]
Rock A La Carte,4lCQVrMZtoGGD2poeAyPEP,8,[]
A*Teens,5zMgvYBz4AW0gFyPtg7fR9,49,"['bubblegum dance', 'dance pop', 'europop', 'post-teen pop']"
Antent,6ovctVkv7d2fBdilDRYfDW,59,['hardwave']
The Teenagers,1Crbmyf2bkbeOvckSlQFng,42,[]
A Bronx Tale Original Broadway Ensemble,7y3zKwDp2fK06HUVObANHC,22,[]
A Brother's Fountain,2XV2X49Lc1zEuMtYjdtVhQ,10,[]
A-Brothers,7bxXctIph1GaxH0ClIScT7,8,"['austrian techno', 'dark minimal techno']"
AhhHaa,3rnpSVwAs2cQoB2OtHZk8m,25,[]
A_A_RonHD,6gwyyI517ABMaZm75bpsOS,32,[]
A-Mah,39MaWxWknmxakxlqaPPxmm,22,[]
