artist_name,artist_id,artist_popularity,artist_genres
Whilst,1TuQVlt2pf14yyNcXunZYt,43,[]
While We Were Sinners,2SXZ6TgQLXxJTCwz1VVnAM,4,[]
The Wiggles,2JY5qzEozvTdogkDTkkOMf,69,"[""australian children's music"", ""children's music""]"
Phil Will Goode,6RaRi6B6e28yTBdTvu1Gzy,39,[]
Whitefield Brothers,1ynl48Y4KflTXf1alW9g1L,34,"['afrobeat', 'funk', 'instrumental funk']"
WHIPPED CREAM,5CMaNobmJYgXcfiT0zYOwi,55,"['canadian electronic', 'edm', 'electra', 'electro house', 'electronic trap', 'vapor twitch']"
The Wipe Outs,51jyZckEMUD5s5LTUKTkkt,32,[]
Whiplash,1VZpDV00MljTrkukEHFKqZ,32,"['death metal', 'metal', 'old school thrash', 'speed metal', 'thrash metal']"
The Wipe Outs,51jyZckEMUD5s5LTUKTkkt,32,[]
Pyrex Whippa,0fmftFfKFPOLOsL0ddoG0f,29,[]
The Whip,4M2H1fDQR5ygAi7MMOVxAA,31,"['alternative dance', 'dance rock', 'dance-punk', 'electrofox', 'new rave']"
Whitney,32aUoW94mJ7xTJI7fG0V1G,58,"['chicago indie', 'indie pop', 'indie rock']"
Willie Jones,5OCZWZ399lBKgxBxE8cjRM,50,"['black americana', 'contemporary country']"
Whiney,4YTBo7qadslqj8V8FMRuqK,51,"['bass house', 'drum and bass', 'liquid funk', 'uk dnb']"
Wiplash,1KDNCVuc8zP3h8O1T5MJm9,42,[]
Whiplash,1VZpDV00MljTrkukEHFKqZ,32,"['death metal', 'metal', 'old school thrash', 'speed metal', 'thrash metal']"
Pyrex Whippa,0fmftFfKFPOLOsL0ddoG0f,29,[]
Whirr,1tnjjbgszXYa8BbyTzwM0w,53,"['american shoegaze', 'dream pop', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']"
Dervish,08DRTASY1wyduMevINkClA,40,"['celtic', 'irish folk']"
Shirlvin Desir,4Hbu64CrdG7DMOmKl57S0Y,32,['gospel r&b']
Weeping Wound,6YXj8wWQGAopBQLxF1zjRn,28,"['metallic hardcore', 'progressive deathcore']"
The Whip,4M2H1fDQR5ygAi7MMOVxAA,31,"['alternative dance', 'dance rock', 'dance-punk', 'electrofox', 'new rave']"
Whipping Boy,3oadMDBL4Wv7F5lkVwRWy2,24,['irish rock']
Whirr,1tnjjbgszXYa8BbyTzwM0w,53,"['american shoegaze', 'dream pop', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']"
Wither Away,5qMmv2bWNnZOP0RLAzaHvM,31,['melodic hardcore']
Whirlybird,6Boxq99fVSm6dot5YclQdW,28,[]
Whirr,1tnjjbgszXYa8BbyTzwM0w,53,"['american shoegaze', 'dream pop', 'dreamgaze', 'dreamo', 'grungegaze', 'indie shoegaze', 'nu gaze', 'shoegaze']"
Howling Winds,3oRIhCYM75fKWEx2IQUPB0,41,['sleep']
Wheel,4msm1QtpV7zMReePhbEQ6H,43,"['alternative metal', 'deep progressive rock', 'finnish progressive rock', 'modern progressive rock', 'progressive metal']"
The Whiskey Bards,1NDp6WFfwj1yeOHBjvhArY,12,"['geek folk', 'shanty']"
Whiskey Barons,1sLU5FvlX9HNaXmr4Lb7vv,14,[]
Whiskey Basterds,4SXCEWuM407rRhK8KAYrQY,2,[]
Vox Vixen,1bD9Gr3h364hNKuCxvSU6n,45,[]
Vox Angeli,3NuTgR1SJD90GvKcR0eJcD,30,['french pop']
angel vox,1fQYiEKSbRxfp9Rxz7I5Hw,34,['sovietwave']
Voxhaul Broadcast,4xpm8rtOK7ssSmkPLdoBg4,28,['austindie']
Vortech,2YLwBlGTCXvik2rosCpgBA,2,"['cyber metal', 'lapland metal']"
