artists_idxs,duration,explicit,track_idx,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
['5r1bdqzhgRoHC3YcCV6N5a'],186000,False,4EiXRWAJeGzwlP5aEBQtw7,Buccaneers of Hispaniola,0.384,0.917,-3.615,0.112,2.86e-05,0.000162,0.179,0.47,152.0
['5r1bdqzhgRoHC3YcCV6N5a'],271733,False,7s0F2aAQKJZyJvTX4qjbGO,Solid Gold,0.502,0.952,-3.118,0.0913,0.00394,0.0,0.062,0.32,126.0
['5r1bdqzhgRoHC3YcCV6N5a'],172186,False,5a1GqbLQHpSaxlG2Jukgnd,Southern Trains,0.313,0.974,-3.934,0.179,0.000331,0.0,0.217,0.255,114.0
['5r1bdqzhgRoHC3YcCV6N5a'],216266,False,59APTSq5BPiNQQW1kCNZHy,Why Don’t the Beautiful Cry?,0.567,0.661,-5.446,0.033,0.0784,0.00208,0.0973,0.555,92.0
['5r1bdqzhgRoHC3YcCV6N5a'],259079,False,1a7nbnyqtubEoD50EMEurR,Japanese Prisoner of Love,0.276,0.889,-4.391,0.0898,0.000677,0.00229,0.296,0.199,78.0
['5r1bdqzhgRoHC3YcCV6N5a'],244560,False,7JhqxR3GCEGh0Hp5R6I8NU,"Lay Down With Me, Barbara",0.364,0.86,-4.219,0.0473,0.00133,0.000149,0.327,0.622,83.0
['5r1bdqzhgRoHC3YcCV6N5a'],200773,False,0FOOvTZ2Y3LycpctBhPPbC,I Wish I Was In Heaven,0.416,0.975,-3.571,0.105,0.008,1.77e-06,0.276,0.339,115.0
['5r1bdqzhgRoHC3YcCV6N5a'],192933,False,5B1VNTa9sBHT1hTsoWWBdC,Happiness,0.411,0.925,-5.157,0.236,0.0105,1.27e-05,0.401,0.279,136.0
['5r1bdqzhgRoHC3YcCV6N5a'],233520,False,1xoDEbL8abBXGLOcsWPjgV,Stampede of Love,0.418,0.593,-7.093,0.0343,0.0528,5.64e-05,0.117,0.233,85.0
['5r1bdqzhgRoHC3YcCV6N5a'],213120,False,7hLHJRuNXKkk13ZF2LaCzU,Uniball,0.372,0.935,-3.945,0.099,0.000542,0.000448,0.3,0.322,134.0
['5r1bdqzhgRoHC3YcCV6N5a'],223760,False,3gqZvEYxQMGTr2s4ZsPfdR,Rack of Glam,0.44,0.84,-4.035,0.0423,0.00143,0.000222,0.189,0.557,109.0
['5r1bdqzhgRoHC3YcCV6N5a'],233573,False,5bAwlaC9oxTRKUFGP4GV85,Seagulls (Losing My Virginity),0.372,0.497,-7.227,0.0268,0.0153,3.8e-06,0.348,0.315,76.0
